,freq,lbd,S,aux,idl
0,176348504705882.34,1.7e-06,-52.200719,,
1,176350537923849.0,1.6999804e-06,-54.0286234,,
2,176352571188700.38,1.6999608e-06,-54.6669033,,
3,176354604500438.03,1.6999412e-06,-52.980248,,
4,176356637859063.62,1.6999216e-06,-52.9035744,,
5,176358671264578.78,1.699902e-06,-54.3656258,,
6,176360704716985.12,1.6998824e-06,-55.1346723,,
7,176362738216284.28,1.6998628e-06,-52.7425782,,
8,176364771762477.84,1.6998432e-06,-52.5805253,,
9,176366805355567.47,1.6998236e-06,-52.4064811,,
10,176368838995554.78,1.699804e-06,-55.9139635,,
11,176370872682441.38,1.6997844e-06,-54.1395606,,
12,176372906416228.88,1.6997648e-06,-54.1842238,,
13,176374940196918.9,1.6997452e-06,-53.2467219,,
14,176376974024513.16,1.6997256e-06,-53.1668513,,
15,176379007899013.12,1.699706e-06,-51.9581993,,
16,176381041820420.53,1.6996864e-06,-53.3038544,,
17,176383075788736.94,1.6996668e-06,-55.153132,,
18,176385109803964.03,1.6996472e-06,-53.9935671,,
19,176387143866103.38,1.6996276e-06,-55.5311949,,
20,176389177975156.62,1.699608e-06,-51.8316379,,
21,176391212131125.38,1.6995884e-06,-52.7435119,,
22,176393246334011.3,1.6995688e-06,-53.0197642,,
23,176395280583816.0,1.6995492e-06,-53.0153739,,
24,176397314880541.06,1.6995296e-06,-54.8604757,,
25,176399349224188.16,1.69951e-06,-53.7195244,,
26,176401383614758.88,1.6994904e-06,-53.5699486,,
27,176403418052254.88,1.6994708e-06,-54.3251454,,
28,176405452536677.72,1.6994512e-06,-54.9716953,,
29,176407487068029.1,1.6994316e-06,-53.8781194,,
30,176409521646310.6,1.699412e-06,-56.9038099,,
31,176411556271523.88,1.6993924e-06,-53.8549483,,
32,176413590943670.5,1.6993728e-06,-53.6014726,,
33,176415625662752.16,1.6993532e-06,-54.9257586,,
34,176417660428770.4,1.6993336e-06,-52.4379832,,
35,176419695241726.97,1.699314e-06,-54.3286831,,
36,176421730101623.34,1.6992944e-06,-53.0426358,,
37,176423765008461.25,1.6992748e-06,-54.58505,,
38,176425799962242.28,1.6992552e-06,-53.5759092,,
39,176427834962968.06,1.6992356e-06,-54.9120947,,
40,176429870010640.2,1.699216e-06,-53.2994432,,
41,176431905105260.34,1.6991964e-06,-54.0738791,,
42,176433940246830.1,1.6991768e-06,-54.7202955,,
43,176435975435351.12,1.6991572e-06,-54.2717815,,
44,176438010670825.0,1.6991376e-06,-53.4173023,,
45,176440045953253.38,1.699118e-06,-54.0279733,,
46,176442081282637.88,1.6990984e-06,-53.3386267,,
47,176444116658980.16,1.6990788e-06,-53.3308491,,
48,176446152082281.78,1.6990592e-06,-55.3864343,,
49,176448187552544.38,1.6990396e-06,-52.0204153,,
50,176450223069769.62,1.69902e-06,-53.573768,,
51,176452258633959.12,1.6990004e-06,-53.7857786,,
52,176454294245114.5,1.6989808e-06,-54.8061628,,
53,176456329903237.34,1.6989612e-06,-53.5621439,,
54,176458365608329.3,1.6989416e-06,-54.4078004,,
55,176460401360392.06,1.698922e-06,-54.2217027,,
56,176462437159427.2,1.6989024e-06,-54.1429492,,
57,176464473005436.28,1.6988828e-06,-53.6106861,,
58,176466508898421.0,1.6988632e-06,-54.0644963,,
59,176468544838383.0,1.6988436e-06,-54.0922428,,
60,176470580825323.88,1.698824e-06,-54.6993755,,
61,176472616859245.25,1.6988044e-06,-54.891585,,
62,176474652940148.75,1.6987848e-06,-52.9978551,,
63,176476689068036.03,1.6987652e-06,-52.7459639,,
64,176478725242908.66,1.6987456e-06,-54.9761231,,
65,176480761464768.3,1.698726e-06,-55.0475978,,
66,176482797733616.6,1.6987064e-06,-55.203448,,
67,176484834049455.16,1.6986868e-06,-53.8989114,,
