freq,lbd,S,aux,idl,mu
176348504705882.34,1.7e-06,-52.4707945,,,-109.31894718596861
176350537923849.0,1.6999804e-06,-54.9721098,,,-109.31690834697025
176352571188700.38,1.6999608e-06,-53.6009148,,,-109.31486946095755
176354604500438.03,1.6999412e-06,-53.0232261,,,-109.31283052792895
176356637859063.62,1.6999216e-06,-53.2127288,,,-109.31079154788279
176358671264578.78,1.699902e-06,-55.8193143,,,-109.30875252081744
176360704716985.12,1.6998824e-06,-56.3313546,,,-109.30671344673125
176362738216284.28,1.6998628e-06,-54.2269354,,,-109.30467432562263
176364771762477.84,1.6998432e-06,-53.6191296,,,-109.30263515748995
176366805355567.47,1.6998236e-06,-54.7859946,,,-109.30059594233155
176368838995554.78,1.699804e-06,-55.4375203,,,-109.29855668014582
176370872682441.38,1.6997844e-06,-55.0184567,,,-109.29651737093114
176372906416228.88,1.6997648e-06,-53.664439,,,-109.29447801468591
176374940196918.9,1.6997452e-06,-52.7014398,,,-109.29243861140846
176376974024513.16,1.6997256e-06,-57.3127345,,,-109.29039916109713
176379007899013.12,1.699706e-06,-53.0151831,,,-109.28835966375041
176381041820420.53,1.6996864e-06,-54.3325015,,,-109.28632011936656
176383075788736.94,1.6996668e-06,-55.2748304,,,-109.28428052794405
176385109803964.03,1.6996472e-06,-53.0177937,,,-109.28224088948114
176387143866103.38,1.6996276e-06,-56.1022974,,,-109.28020120397629
176389177975156.62,1.699608e-06,-53.7742337,,,-109.27816147142784
176391212131125.38,1.6995884e-06,-53.2901927,,,-109.27612169183419
176393246334011.3,1.6995688e-06,-53.0659877,,,-109.27408186519364
176395280583816.0,1.6995492e-06,-53.728238,,,-109.27204199150464
176397314880541.06,1.6995296e-06,-53.9541344,,,-109.27000207076553
176399349224188.16,1.69951e-06,-52.7527223,,,-109.26796210297468
176401383614758.88,1.6994904e-06,-54.3606079,,,-109.26592208813048
176403418052254.88,1.6994708e-06,-54.8565196,,,-109.26388202623127
176405452536677.72,1.6994512e-06,-52.5320175,,,-109.26184191727548
176407487068029.1,1.6994316e-06,-53.9722291,,,-109.25980176126141
176409521646310.6,1.699412e-06,-53.4266084,,,-109.25776155818748
176411556271523.88,1.6993924e-06,-54.3242001,,,-109.25572130805203
176413590943670.5,1.6993728e-06,-57.0455802,,,-109.25368101085348
176415625662752.16,1.6993532e-06,-55.9251732,,,-109.25164066659013
176417660428770.4,1.6993336e-06,-57.4475684,,,-109.24960027526045
176419695241726.97,1.699314e-06,-53.1812836,,,-109.24755983686266
176421730101623.34,1.6992944e-06,-56.0976456,,,-109.24551935139532
176423765008461.25,1.6992748e-06,-61.2376335,,,-109.24347881885666
176425799962242.28,1.6992552e-06,-54.7104171,,,-109.24143823924508
176427834962968.06,1.6992356e-06,-53.7530031,,,-109.23939761255899
176429870010640.2,1.699216e-06,-57.5899212,,,-109.23735693879676
176431905105260.34,1.6991964e-06,-56.1873353,,,-109.23531621795671
176433940246830.1,1.6991768e-06,-53.6913088,,,-109.23327545003725
176435975435351.12,1.6991572e-06,-52.3671292,,,-109.23123463503673
176438010670825.0,1.6991376e-06,-52.9575079,,,-109.22919377295356
176440045953253.38,1.699118e-06,-54.5192476,,,-109.22715286378607
176442081282637.88,1.6990984e-06,-57.9157226,,,-109.22511190753265
176444116658980.16,1.6990788e-06,-56.1951285,,,-109.22307090419162
176446152082281.78,1.6990592e-06,-56.021075,,,-109.22102985376142
176448187552544.38,1.6990396e-06,-54.7393943,,,-109.21898875624044
176450223069769.62,1.69902e-06,-55.1795412,,,-109.21694761162695
176452258633959.12,1.6990004e-06,-53.9132748,,,-109.21490641991939
176454294245114.5,1.6989808e-06,-51.8674414,,,-109.2128651811161
176456329903237.34,1.6989612e-06,-53.2682239,,,-109.2108238952155
176458365608329.3,1.6989416e-06,-52.9929038,,,-109.20878256221592
176460401360392.06,1.698922e-06,-53.8833884,,,-109.2067411821157
176462437159427.2,1.6989024e-06,-56.0016787,,,-109.20469975491326
176464473005436.28,1.6988828e-06,-53.0052533,,,-109.20265828060698
176466508898421.0,1.6988632e-06,-54.9833194,,,-109.20061675919521
176468544838383.0,1.6988436e-06,-54.7959836,,,-109.19857519067628
176470580825323.88,1.698824e-06,-57.0154757,,,-109.1965335750486
176472616859245.25,1.6988044e-06,-54.565939,,,-109.19449191231054
176474652940148.75,1.6987848e-06,-53.6959288,,,-109.19245020246046
176476689068036.03,1.6987652e-06,-54.3678204,,,-109.19040844549671
176478725242908.66,1.6987456e-06,-57.6385152,,,-109.18836664141773
176480761464768.3,1.698726e-06,-54.6470472,,,-109.1863247902218
176482797733616.6,1.6987064e-06,-56.4364969,,,-109.18428289190736
176484834049455.16,1.6986868e-06,-53.6431478,,,-109.18224094647272
176486870412285.6,1.6986672e-06,-53.2861306,,,-109.18019895391629
176488906822109.53,1.6986476e-06,-54.4034134,,,-109.17815691423645
176490943278928.62,1.698628e-06,-54.0821711,,,-109.17611482743152
176492979782744.53,1.6986084e-06,-53.8136385,,,-109.17407269349985
176495016333558.78,1.6985888e-06,-55.5523536,,,-109.17203051243992
176497052931373.06,1.6985692e-06,-54.5381137,,,-109.16998828425001
176499089576189.0,1.6985496e-06,-56.6280703,,,-109.16794600892851
176501126268008.22,1.69853e-06,-55.9391354,,,-109.16590368647378
176503163006832.34,1.6985104e-06,-54.7389439,,,-109.1638613168842
176505199792663.0,1.6984908e-06,-54.1823987,,,-109.16181890015812
176507236625501.8,1.6984712e-06,-53.7886242,,,-109.15977643629394
176509273505350.4,1.6984516e-06,-55.7762087,,,-109.15773392529
176511310432210.4,1.698432e-06,-54.3904209,,,-109.1556913671447
176513347406083.47,1.6984124e-06,-55.0739011,,,-109.15364876185636
176515384426971.2,1.6983928e-06,-55.0379375,,,-109.15160610942338
176517421494875.2,1.6983732e-06,-55.8781488,,,-109.14956340984415
176519458609797.16,1.6983536e-06,-55.0113714,,,-109.14752066311695
176521495771738.66,1.698334e-06,-52.1795177,,,-109.14547786924025
176523532980701.34,1.6983144e-06,-53.9045246,,,-109.14343502821235
176525570236686.8,1.6982948e-06,-54.0194498,,,-109.14139214003168
176527607539696.75,1.6982752e-06,-54.6891708,,,-109.13934920469653
176529644889732.75,1.6982556e-06,-56.5357033,,,-109.13730622220531
176531682286796.4,1.698236e-06,-57.8639751,,,-109.13526319255642
176533719730889.4,1.6982164e-06,-53.1822497,,,-109.13322011574819
176535757222013.38,1.6981968e-06,-53.0189083,,,-109.13117699177894
176537794760169.9,1.6981772e-06,-54.4071851,,,-109.12913382064711
176539832345360.62,1.6981576e-06,-55.7632757,,,-109.12709060235107
176541869977587.22,1.698138e-06,-56.167473,,,-109.12504733688912
176543907656851.25,1.6981184e-06,-55.6060766,,,-109.12300402425969
176545945383154.38,1.6980988e-06,-53.4184222,,,-109.12096066446112
176547983156498.22,1.6980792e-06,-54.4844063,,,-109.11891725749179
176550020976884.44,1.6980596e-06,-56.6980288,,,-109.11687380335002
176552058844314.62,1.69804e-06,-54.0859424,,,-109.11483030203422
176554096758790.4,1.6980204e-06,-55.3374165,,,-109.11278675354278
176556134720313.44,1.6980008e-06,-57.7539465,,,-109.11074315787401
176558172728885.34,1.6979812e-06,-55.963384,,,-109.1086995150263
176560210784507.75,1.6979616e-06,-55.9348047,,,-109.10665582499801
176562248887182.25,1.697942e-06,-55.767028,,,-109.10461208778756
176564287036910.53,1.6979224e-06,-53.5463392,,,-109.10256830339323
176566325233694.16,1.6979028e-06,-53.0392091,,,-109.10052447181347
176568363477534.84,1.6978832e-06,-54.5134679,,,-109.09848059304655
176570401768434.16,1.6978636e-06,-55.1973437,,,-109.09643666709091
176572440106393.75,1.697844e-06,-54.2973536,,,-109.09439269394488
176574478491415.25,1.6978244e-06,-54.3796874,,,-109.09234867360685
176576516923500.28,1.6978048e-06,-54.9294759,,,-109.09030460607518
176578555402650.47,1.6977852e-06,-56.8490439,,,-109.08826049134822
176580593928867.44,1.6977656e-06,-53.9151988,,,-109.08621632942437
